year,district_name,district_code,subject,avg_scaled_score,sgp,n_students,participation_rate
2019,Match Charter Public School (District),4690000,ELA,501.3,61.3,          72,
2019,Match Charter Public School (District),4690000,MATH,508.9,76.0,          72,
2019,Maynard,1740000,ELA,510.5,62.3,          88,
2019,Maynard,1740000,MATH,502.2,50.7,          85,
2019,Medfield,1750000,ELA,516.3,52.1,         204,
2019,Medfield,1750000,MATH,520.2,69.7,         204,
2019,Medford,1760000,ELA,507.4,50.9,         300,
2019,Medford,1760000,MATH,503.8,49.9,         301,
2019,Medway,1770000,ELA,512.8,45.1,         157,
2019,Medway,1770000,MATH,517.0,50.2,         155,
2019,Melrose,1780000,ELA,515.1,43.6,         241,
2019,Melrose,1780000,MATH,508.4,48.7,         239,
2019,Mendon-Upton,7100000,ELA,517.4,60.4,         163,
2019,Mendon-Upton,7100000,MATH,514.0,51.3,         162,
2019,Methuen,1810000,ELA,498.2,44.0,         507,
2019,Methuen,1810000,MATH,497.1,39.4,         503,
2019,Middleborough,1820000,ELA,505.5,35.1,         191,
2019,Middleborough,1820000,MATH,503.3,52.7,         188,
2019,Milford,1850000,ELA,505.2,58.7,         291,
2019,Milford,1850000,MATH,499.2,47.1,         286,
2019,Millbury,1860000,ELA,499.3,34.6,         119,
2019,Millbury,1860000,MATH,501.4,50.1,         120,
2019,Millis,1870000,ELA,510.8,58.1,          89,
2019,Millis,1870000,MATH,511.8,42.5,          89,
2019,Milton,1890000,ELA,515.5,60.3,         274,
2019,Milton,1890000,MATH,514.5,57.8,         274,
2019,Minuteman Regional Vocational Technical,8300000,ELA,509.2,56.5,         148,
2019,Minuteman Regional Vocational Technical,8300000,MATH,503.4,42.5,         148,
2019,Mohawk Trail,7170000,ELA,507.8,52.7,          53,
2019,Mohawk Trail,7170000,MATH,500.9,33.0,          53,
2019,Monomoy Regional School District,7120000,ELA,510.6,64.0,         112,
2019,Monomoy Regional School District,7120000,MATH,503.9,56.5,         111,
2019,Monson,1910000,ELA,505.3,53.2,          61,
2019,Monson,1910000,MATH,507.6,46.6,          61,
2019,Montachusett Regional Vocational Technical,8320000,ELA,502.7,43.8,         362,
2019,Montachusett Regional Vocational Technical,8320000,MATH,502.5,49.2,         360,
2019,Mount Greylock,7150000,ELA,521.3,51.2,          83,
2019,Mount Greylock,7150000,MATH,510.4,49.0,          82,
2019,Mystic Valley Regional Charter (District),4700000,ELA,511.6,41.2,          88,
2019,Mystic Valley Regional Charter (District),4700000,MATH,520.7,72.9,          88,
2019,Nantucket,1970000,ELA,506.7,58.9,         118,
2019,Nantucket,1970000,MATH,501.4,64.1,         118,
2019,Narragansett,7200000,ELA,502.5,61.3,          66,
2019,Narragansett,7200000,MATH,504.0,47.1,          63,
2019,Nashoba,7250000,ELA,518.1,55.8,         241,
2019,Nashoba,7250000,MATH,517.7,44.9,         242,
2019,Nashoba Valley Regional Vocational Technical,8520000,ELA,498.9,43.3,         179,
2019,Nashoba Valley Regional Vocational Technical,8520000,MATH,498.6,48.7,         179,
2019,Natick,1980000,ELA,512.4,43.8,         412,
2019,Natick,1980000,MATH,516.7,49.4,         408,
2019,Nauset,6600000,ELA,519.0,60.0,         237,
2019,Nauset,6600000,MATH,508.9,50.4,         239,
2019,Needham,1990000,ELA,519.6,50.2,         428,
2019,Needham,1990000,MATH,523.0,55.7,         428,
2019,Neighborhood House Charter (District),4440000,ELA,497.9,30.6,          51,
2019,Neighborhood House Charter (District),4440000,MATH,500.8,55.7,          51,
2019,New Bedford,2010000,ELA,484.6,37.0,         502,
2019,New Bedford,2010000,MATH,483.2,38.9,         488,
2019,New Heights Charter School of Brockton (District),35130000,ELA,499.7,52.6,          90,
2019,New Heights Charter School of Brockton (District),35130000,MATH,496.5,61.9,          90,
2019,Newburyport,2040000,ELA,517.9,51.3,         212,
2019,Newburyport,2040000,MATH,515.2,54.1,         211,
2019,Newton,2070000,ELA,516.0,48.3,         967,
2019,Newton,2070000,MATH,521.3,59.2,         972,
2019,Norfolk County Agricultural,9150000,ELA,502.4,38.4,         141,
2019,Norfolk County Agricultural,9150000,MATH,500.3,41.6,         140,
2019,North Adams,2090000,ELA,503.0,60.2,          88,
2019,North Adams,2090000,MATH,490.2,40.7,          87,
2019,North Andover,2110000,ELA,511.3,45.3,         377,
2019,North Andover,2110000,MATH,510.9,42.0,         374,
2019,North Attleborough,2120000,ELA,514.8,47.0,         249,
2019,North Attleborough,2120000,MATH,514.0,47.4,         250,
2019,North Brookfield,2150000,ELA,495.7,37.6,          30,
2019,North Brookfield,2150000,MATH,498.3,43.6,          30,
2019,North Middlesex,7350000,ELA,510.0,45.6,         212,
2019,North Middlesex,7350000,MATH,505.9,33.5,         213,
2019,North Reading,2170000,ELA,515.3,58.7,         193,
2019,North Reading,2170000,MATH,514.7,59.8,         192,
2019,Northampton,2100000,ELA,511.6,53.2,         213,
2019,Northampton,2100000,MATH,510.2,59.8,         213,
2019,Northampton-Smith Vocational Agricultural,4060000,ELA,496.0,52.5,         127,
2019,Northampton-Smith Vocational Agricultural,4060000,MATH,492.6,51.3,         127,
2019,Northboro-Southboro,7300000,ELA,518.8,62.5,         388,
2019,Northboro-Southboro,7300000,MATH,518.4,53.9,         387,
2019,Northbridge,2140000,ELA,500.1,49.0,         130,
2019,Northbridge,2140000,MATH,500.3,34.5,         125,
2019,Northeast Metropolitan Regional Vocational Technical,8530000,ELA,491.4,37.6,         311,
2019,Northeast Metropolitan Regional Vocational Technical,8530000,MATH,489.5,34.9,         309,
2019,Northern Berkshire Regional Vocational Technical,8510000,ELA,500.2,53.1,         124,
2019,Northern Berkshire Regional Vocational Technical,8510000,MATH,494.7,46.0,         124,
2019,Norton,2180000,ELA,506.1,48.8,         185,
2019,Norton,2180000,MATH,506.8,54.3,         185,
2019,Norwell,2190000,ELA,520.9,64.0,         160,
2019,Norwell,2190000,MATH,517.6,63.1,         162,
2019,Norwood,2200000,ELA,510.5,59.7,         244,
2019,Norwood,2200000,MATH,507.0,59.5,         244,
2019,Old Colony Regional Vocational Technical,8550000,ELA,502.3,51.0,         133,
2019,Old Colony Regional Vocational Technical,8550000,MATH,502.7,51.0,         133,
2019,Old Rochester,7400000,ELA,517.7,59.7,         191,
2019,Old Rochester,7400000,MATH,512.4,52.2,         189,
2019,Oxford,2260000,ELA,504.9,42.6,          99,
2019,Oxford,2260000,MATH,502.0,51.0,          95,
2019,Palmer,2270000,ELA,502.2,51.8,          79,
2019,Palmer,2270000,MATH,502.5,57.7,          79,
2019,Pathfinder Regional Vocational Technical,8600000,ELA,494.0,44.1,         160,
2019,Pathfinder Regional Vocational Technical,8600000,MATH,490.7,39.4,         157,
2019,Paulo Freire Social Justice Charter School (District),35010000,ELA,486.3,29.4,          57,
2019,Paulo Freire Social Justice Charter School (District),35010000,MATH,478.0,31.1,          56,
2019,Peabody,2290000,ELA,499.6,41.8,         346,
2019,Peabody,2290000,MATH,500.7,47.5,         341,
2019,Pembroke,2310000,ELA,512.9,56.3,         213,
2019,Pembroke,2310000,MATH,507.8,41.5,         211,
2019,Pentucket,7450000,ELA,516.1,67.1,         204,
2019,Pentucket,7450000,MATH,508.3,69.3,         203,
2019,"Phoenix Academy Charter Public High School, Chelsea (District)",4930000,ELA,491.9,,          15,
2019,"Phoenix Academy Charter Public High School, Chelsea (District)",4930000,MATH,495.0,,          15,
2019,"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,ELA,474.2,,          16,
2019,"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,MATH,470.9,,          15,
2019,"Phoenix Academy Public Charter High School, Springfield (District)",35080000,ELA,477.2,,          13,
2019,"Phoenix Academy Public Charter High School, Springfield (District)",35080000,MATH,475.7,,          12,
2019,Pioneer Charter School of Science (District),4940000,ELA,516.6,54.2,          55,
2019,Pioneer Charter School of Science (District),4940000,MATH,520.1,70.6,          55,
